Dataset Name,Image Name,Characteristics [Organism],Characteristics [Cell Line],Characteristics [Cell Cycle Phase],Experimental Condition [Antibody Target],Comment [Targeted Protein],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Symbol Synonyms],Has Phenotype,Phenotype Annotation Level,Phenotype 1,Phenotype 1 Term Name,Phenotype 1 Term Accession
siRNAi-HeLa,CSFV_10.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENST00000394818.8,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,CSFV_11.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENST00000394818.9,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,CSFV_12.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,,INCENP,INCENP,ENST00000394818.10,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,IN_01.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,IN_02.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,IN_02.r3d_D3D.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,IN_02.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,IN_03.r3d_D3D.dv,Homo sapiens,HeLa,,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,IN_03.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_01.r3d,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_01.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_02.r3d,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_05.r3d,Homo sapiens,HeLa,,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_06.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_06.r3d_D3D.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,scram_06.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,V-out_01.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,V-out_03.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,V-out_04.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,V-out_04.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,V-out_06.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_01.r3d,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_01.r3d_D3D.dv,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_01.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_02.r3d,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_02.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Metaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_03.r3d_D3D.dv,Homo sapiens,HeLa,Anaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_04.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_04.r3d_D3D_PRJ.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_06.r3d,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_06.r3d_D3D.dv,Homo sapiens,HeLa,Prometaphase,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_07.r3d,Homo sapiens,HeLa,,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425
siRNAi-HeLa,VRAQ_07.r3d_D3D.dv,Homo sapiens,HeLa,,INCENP,INCENP,ENSG00000149503,INCENP,FLJ31633,yes,protein,protein localized to centrosome,protein localized in centrosome phenotype,CMPO_0000425